model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_min_ax_bases,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases,n_fixed_point_coms_min_ax_base,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
StandardModel,"[[-7, 2], [-5, -2], [1, 2], [-3, -7], [6, 5], [-4, -2], [-2, -7], [2, 1], [-7, -2]]",7,9,0.8571428571428571,2,2,0,"{1, 2, 3, 4, 5, 7}","[(6, 1), (-4, 1), (-3, 1)]","{1, 4, -6, -5, -2}",5,2,2,,0,False,,"{1, 2, 3, 4, 5, 7, -6}",7,6,0,True,True,1,[{-6}],1.0,[set()],0.0,{-6},"{1, 2, 3, 4, 5, 7, -6}",[{-6}],"[0, 0.9517142857142857, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,6,4,2,2,0,3,[],"[{1, 4, -6, -5, -2}, {1, 2, 3, 4, 5, 7, -6}, {1, 2, 3, 4, 5, 7, -6}]","[{-6}, {-6}, {-6}]",6,"{({-6}, {1, 2, 3, 4, 5, 7, -6})}"
StandardModel,"[[-7, 2], [-5, -2], [1, 2], [-3, -7], [6, 5], [-4, -2], [-2, -7], [2, 1], [-7, -2]]",7,9,0.8571428571428571,2,2,0,"{1, 2, 3, 4, 5, 7}","[(6, 1), (-4, 1), (-3, 1)]","{2, 3, 4, 6, -5}",5,3,1,,0,False,,"{1, 2, 3, 4, 5, 6, 7}",7,6,0,True,True,1,[{6}],1.0,[set()],0.0,{6},"{1, 2, 3, 4, 5, 6, 7}",[{6}],"[0, 0.9817142857142857, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,4,3,1,2,0,4,[],"[{2, 3, 4, 6, -5}, {1, 2, 3, 4, 5, 6, 7}, {1, 2, 3, 4, 5, 6, 7}]","[{6}, {6}, {6}]",6,"{({6}, {1, 2, 3, 4, 5, 6, 7})}"
StandardModel,"[[-7, 1], [5, -1], [6, 1], [3, -6], [-2, -6], [-4, 1], [5, -4], [2, -3], [-5, -2]]",7,9,0.5254388435875197,10,2,0,"{-6, -5, -2}","[(5, 2), (-7, 1), (-5, 1)]","{1, 4, -6, -5, -2}",5,3,0,"[{1, 4}]",4,True,True,"{-6, -5, 4, -2}",4,3,0,True,True,6,[{4}],1.0,[set()],0.0,{4},"{-6, -5, 4, -2}","[{4}, {-1}]","[0, 0.9928571428571428, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,1,1,0,0,1,6,[1],"[{1, 4, -6, -5, -2}, {-6, -5, 4, -2}, {-6, -5, 4, -2}]","[{4}, {4}, {4}]",6,"{({-1}, {4, 7, -1, -6, -5, -2}), ({1}, {1, -6, -5, -2}), ({-4}, {1, -6, -5, -4, -2}), ({4}, {-6, -5, 4, -2}), ({-7}, {1, -7, -6, -5, -2})}"
StandardModel,"[[-7, 1], [5, -1], [6, 1], [3, -6], [-2, -6], [-4, 1], [5, -4], [2, -3], [-5, -2]]",7,9,0.5254388435875197,10,2,0,"{-6, -5, -2}","[(5, 2), (-7, 1), (-5, 1)]","{2, 3, 4, 6, -5}",5,1,2,,0,False,,"{3, 4, -6, -5, -2}",5,3,0,True,True,3,"[{3, 4}]",2.0,[{4}],1.0,{3},"{-6, 3, -2, -5}",[{3}],"[0, 0.9494285714285714, 0.9698367346938775, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,4,2,2,0,0,5,[3],"[{2, 3, 4, 6, -5}, {3, 4, -6, -5, -2}, {3, 4, -6, -5, -2}]","[{3, 4}, {3}, {3}]",6,"{({3}, {3, -6, 2, -5}), ({4}, {-6, 2, 4, -5}), ({-1}, {4, 6, 7, -1, -5, -2}), ({-1}, {3, 4, 7, -1, -6, -5, -2}), ({4}, {-5, 4, -2, 6}), ({-1}, {2, 4, 7, -6, -5, -1}), ({4}, {3, 4, -6, -5, -2}), ({3}, {3, 4, -6, -5, -2}), ({3}, {-5, 3, 6, -2})}"
StandardModel,"[[-2, 3], [-1, -2], [4, -3], [-7, 4], [-5, 7], [-6, -7], [-5, 4], [7, 2], [-5, -2]]",7,9,0.6682959864446626,5,2,0,"{1, 2, 5}","[(-1, 1), (-6, 1), (-5, 3)]","{1, 4, -6, -5, -2}",5,1,2,,0,False,,"{1, 2, 4, 5, -7, -6, -3}",7,3,0,True,True,1,[{-6}],1.0,[set()],0.0,{-6},"{1, 2, 4, 5, -7, -6, -3}",[{-6}],"[0, 0.9517142857142857, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,6,4,2,2,0,3,[],"[{1, 4, -6, -5, -2}, {1, 2, 4, 5, -7, -6, -3}, {1, 2, 4, 5, -7, -6, -3}]","[{-6}, {-6}, {-6}]",6,"{({-6}, {1, 2, 4, 5, -7, -6, -3})}"
StandardModel,"[[-2, 3], [-1, -2], [4, -3], [-7, 4], [-5, 7], [-6, -7], [-5, 4], [7, 2], [-5, -2]]",7,9,0.6682959864446626,5,2,0,"{1, 2, 5}","[(-1, 1), (-6, 1), (-5, 3)]","{2, 3, 4, 6, -5}",5,1,1,,0,False,,"{1, 2, 3, 5, 6, 7, -4}",7,3,0,True,True,1,[{3}],1.0,[set()],0.0,{3},"{1, 2, 3, 5, 6, 7, -4}",[{3}],"[0, 0.9517142857142857, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,6,4,2,2,0,3,[],"[{2, 3, 4, 6, -5}, {1, 2, 3, 5, 6, 7, -4}, {1, 2, 3, 5, 6, 7, -4}]","[{3}, {3}, {3}]",6,"{({3}, {1, 2, 3, 5, 6, 7, -4})}"
StandardModel,"[[5, -7], [-2, -7], [4, -5], [3, 7], [1, 5], [6, 5], [-4, 6], [-4, 3], [-1, 7]]",7,9,0.8571428571428571,2,2,0,"{2, 4, 7, -6, -5, -1}","[(1, 1), (4, 1), (-1, 1), (-4, 2), (-2, 1)]","{1, 4, -6, -5, -2}",5,3,2,,0,False,,"{2, 4, 7, -6, -5, -1}",6,6,0,True,True,2,[set()],0.0,[set()],0.0,{-1},"{2, 4, 7, -6, -5, -1}",[set()],"[0, 0.9622142857142858, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,5,3,2,1,0,4,[1],"[{1, 4, -6, -5, -2}, {2, 4, 7, -6, -5, -1}, {2, 4, 7, -6, -5, -1}]","[{-1}, {-1}, {-1}]",6,"{({-3}, {2, 4, 7, -6, -5, -3, -1}), ({7}, {2, 4, 7, -6, -5, -1}), ({2}, {2, 4, 7, -6, -5, -1}), ({4}, {2, 4, 7, -6, -5, -1}), ({-5}, {2, 4, 7, -6, -5, -1}), ({3}, {2, 3, 4, 7, -6, -5, -1}), ({-1}, {2, 4, 7, -6, -5, -1}), ({-6}, {2, 4, 7, -6, -5, -1})}"
StandardModel,"[[5, -7], [-2, -7], [4, -5], [3, 7], [1, 5], [6, 5], [-4, 6], [-4, 3], [-1, 7]]",7,9,0.8571428571428571,2,2,0,"{2, 4, 7, -6, -5, -1}","[(1, 1), (4, 1), (-1, 1), (-4, 2), (-2, 1)]","{2, 3, 4, 6, -5}",5,3,1,,0,False,,"{2, 3, 4, 7, -6, -5, -1}",7,6,0,True,True,1,[{3}],1.0,[set()],0.0,{3},"{2, 3, 4, 7, -6, -5, -1}",[{3}],"[0, 0.9817142857142857, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694, 0.9979591836734694]",True,4,3,1,2,0,4,[],"[{2, 3, 4, 6, -5}, {2, 3, 4, 7, -6, -5, -1}, {2, 3, 4, 7, -6, -5, -1}]","[{3}, {3}, {3}]",6,"{({3}, {2, 3, 4, 7, -6, -5, -1})}"
StandardModel,"[[5, -7], [3, -7], [1, -3], [-6, 3], [2, -1], [-4, 2], [4, -1], [-5, 6], [6, -3]]",7,9,0.4878624998969777,12,2,0,{-1},"[(4, 1), (5, 1), (-5, 1), (-4, 1)]","{1, 4, -6, -5, -2}",5,0,1,,0,False,,"{4, 6, 7, -1, -5, -3, -2}",7,1,0,True,True,1,"[{-2, 7}]",2.0,[set()],0.0,"{-2, 7}","{4, 6, 7, -1, -5, -3, -2}","[{-2, 7}]","[0, 0.9469365079365079, 0.9765589569160997, 0.979969387755102, 0.9806122448979592, 0.9806122448979592, 0.9806122448979592, 0.9806122448979592]",True,6,4,2,2,0,3,[],"[{1, 4, -6, -5, -2}, {4, 6, -1, -5, -3, -2}, {4, 6, 7, -1, -5, -3, -2}, {4, 6, 7, -1, -5, -3, -2}]","[{-5, -2}, {-2, 7}, {-2, 7}, {-2, 7}]",8,"{({-2}, {-6, 4, -1, -2}), ({-2}, {-5, 4, -1, -2}), ({-2}, {1, 4, -2})}"
StandardModel,"[[5, -7], [3, -7], [1, -3], [-6, 3], [2, -1], [-4, 2], [4, -1], [-5, 6], [6, -3]]",7,9,0.4878624998969777,12,2,0,{-1},"[(4, 1), (5, 1), (-5, 1), (-4, 1)]","{2, 3, 4, 6, -5}",5,0,0,,0,False,,"{4, 6, 7, -1, -5, -3, -2}",7,1,0,True,True,1,"[{-2, 7}]",2.0,[set()],0.0,"{-2, 7}","{4, 6, 7, -1, -5, -3, -2}","[{-2, 7}]","[0, 0.9469365079365079, 0.9765589569160997, 0.979969387755102, 0.9806122448979592, 0.9806122448979592, 0.9806122448979592, 0.9806122448979592]",True,6,4,2,2,0,3,[1],"[{2, 3, 4, 6, -5}, {4, 6, -1, -5, -3, -2}, {4, 6, 7, -1, -5, -3, -2}, {4, 6, 7, -1, -5, -3, -2}]","[{-5, -2}, {-2, 7}, {-2, 7}, {-2, 7}]",8,"{({-5}, {2, 6, -5, -3, -1}), ({7}, {4, 6, 7, -5, -3, -1}), ({-5}, {-5, 3, 6, -1}), ({-5}, {4, 6, -5, -3, -1}), ({7}, {2, 6, 7, -5, -3, -1}), ({7}, {3, 6, 7, -5, -1})}"
