model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[7, -5], [-1, -5], [2, 7], [-6, 7], [4, -6]]",7,5,0.29901562919878305,30,2.0,0.0,set(),"[(2, 1), (4, 1), (-1, 1)]","{3, 4, 5, 6, 7, -1, -2}",7,0,0,0,False,,"{-6, 4, 5, 7}",4,0,0,,False,0,,,{4},"{-6, -5, 4, 7}",[{4}],"[0, 0.1, 0.19081632653061226, 0.8836734693877553, 0.9275510204081633, 0.941265306122449, 0.9524897959183672, 0.9530612244897959, 0.960204081632653, 0.960204081632653, 0.960204081632653, 0.960204081632653]",False,5,4,1,0,3,3,"[2, 4, 5, 6, 8]","[{3, 4, 5, 6, 7, -1, -2}, {3, 4, 5, 6, 7, -1}, {3, 4, 5, 7, -6, -1}, {3, 4, 5, 7, -6}, {-6, 4, 5, 7}, {-6, 4, 5, 7}]","[set(), {4}, {3, 4}, {4}, {4}, {4}]",12,
LocalStandardReflectiveEquilibrium,"[[7, -5], [-1, -5], [2, 7], [-6, 7], [4, -6]]",7,5,0.29901562919878305,30,2.0,0.0,set(),"[(2, 1), (4, 1), (-1, 1)]","{1, 3, -7, -6, -5}",5,0,0,0,False,,"{1, 3, 5, 6, -7, -4, -2}",7,0,0,True,True,1,[{3}],1.0,{5},"{1, 5, 6, -7, -4, -2}",[{5}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9378877551020408, 0.9660510204081633, 0.9748265306122449, 0.9780408163265306, 0.9780408163265306, 0.979969387755102, 0.979969387755102, 0.9806122448979592, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,6,4,2,2,0,3,"[2, 4, 6, 8]","[{1, 3, -7, -6, -5}, {1, -6, 3, -7}, {1, 3, -7, 6}, {1, 3, 6, -7, -2}, {1, 3, 6, -7, -4, -2}, {1, 3, 5, 6, -7, -4, -2}, {1, 3, 5, 6, -7, -4, -2}]","[set(), {5}, {3, 5}, {3, 5}, {3, 5}, {5}, {5}]",14,
LocalStandardReflectiveEquilibrium,"[[7, -6, -2], [1, 3, -6], [-4, -3], [-2, 7, -3], [-6, -1, 4]]",7,5,0.14285714285714285,64,2.8,0.19999999999999998,set(),"[(1, 1), (7, 2), (-1, 1)]","{3, 4, 5, 6, 7, -1, -2}",7,0,0,0,False,,"{2, 3, 4, 6, 7, -1}",6,0,0,True,True,2,[set()],0.0,"{3, 7}","{2, 3, 4, 6, 7, -1}","[{3, 7}]","[0, 0.1, 0.19081632653061226, 0.8193877551020408, 0.8775510204081634, 0.9644875283446712, 0.9755385487528345, 0.9755385487528345, 0.9765589569160997, 0.9765589569160997, 0.9765589569160997, 0.9765589569160997]",True,3,2,1,0,1,5,"[2, 3, 4]","[{3, 4, 5, 6, 7, -1, -2}, {3, 5, 6, 7, -1, -2}, {3, 6, 7, -1, -2}, {3, 4, 6, 7, -1, -2}, {2, 3, 4, 6, 7, -1}, {2, 3, 4, 6, 7, -1}]","[set(), {7}, {3, 7}, {3, 7}, {3, 7}, {3, 7}]",12,
LocalStandardReflectiveEquilibrium,"[[7, -6, -2], [1, 3, -6], [-4, -3], [-2, 7, -3], [-6, -1, 4]]",7,5,0.14285714285714285,64,2.8,0.19999999999999998,set(),"[(1, 1), (7, 2), (-1, 1)]","{1, 3, -7, -6, -5}",5,0,0,2,True,False,"{1, 3}",2,0,0,False,True,4,[{3}],1.0,{1},{1},"[{1}, {-6, -4}]","[0, 0.2714285714285714, 0.3336734693877551, 0.9336734693877551, 0.963265306122449, 0.963265306122449, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673, 0.9744897959183673]",True,3,3,0,0,3,4,"[2, 3, 4, 6]","[{1, 3, -7, -6, -5}, {1, -6, 3, -5}, {1, 3, -5}, {1, 3}, {1, 3}]","[set(), {1}, {1}, {1}, {1}]",10,
LocalStandardReflectiveEquilibrium,"[[4, 7], [3, -7], [5, -3], [-2, -5], [1, 2]]",7,5,0.26143928550824114,36,2.0,0.0,set(),"[(1, 1), (4, 1)]","{3, 4, 5, 6, 7, -1, -2}",7,0,0,0,False,,"{3, 6, -1, -7, -5, -4, -2}",7,0,0,True,True,1,[{6}],1.0,"{3, -2}","{3, -1, -7, -5, -4, -2}","[{3, -2}]","[0, 0.1, 0.19081632653061226, 0.8836734693877553, 0.9275510204081633, 0.9387732426303854, 0.9542834467120181, 0.9542834467120181, 0.9592120181405895, 0.9592120181405895, 0.9592120181405895, 0.9592120181405895]",True,6,3,3,0,0,4,"[2, 4, 5, 6]","[{3, 4, 5, 6, 7, -1, -2}, {3, 4, 5, 6, -1, -2}, {3, 4, 6, -1, -5, -2}, {3, 6, -1, -5, -4, -2}, {3, 6, -1, -7, -5, -4, -2}, {3, 6, -1, -7, -5, -4, -2}]","[set(), {-2}, {3, -2}, {3, -2}, {3, -2}, {3, -2}]",12,
LocalStandardReflectiveEquilibrium,"[[4, 7], [3, -7], [5, -3], [-2, -5], [1, 2]]",7,5,0.26143928550824114,36,2.0,0.0,set(),"[(1, 1), (4, 1)]","{1, 3, -7, -6, -5}",5,0,0,1,True,False,"{-7, 3, -4, -5}",4,0,0,True,True,6,[set()],0.0,{3},"{-7, 3, -4, -5}",[{3}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9496734693877551, 0.9735510204081632, 0.9735510204081632, 0.9858877551020409, 0.9858877551020409, 0.9911938775510204, 0.9911938775510204, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,3,3,0,1,2,4,"[2, 4]","[{1, 3, -7, -6, -5}, {1, -6, 3, -7}, {-7, -6, 3}, {-7, -6, 3, -5}, {-7, 3, -5}, {-7, 3, -4, -5}, {-7, 3, -4, -5}]","[set(), {3}, {3}, {3}, {3}, {3}, {3}]",14,
LocalStandardReflectiveEquilibrium,"[[-4, -7], [5, 7], [1, -5], [6, 2, 5], [-3, -7]]",7,5,0.2732195941070944,34,2.2,0.19999999999999998,set(),"[(1, 1), (2, 1), (6, 1), (-4, 1), (-3, 1)]","{3, 4, 5, 6, 7, -1, -2}",7,0,0,1,True,True,"{3, 4, 5, 7, -1}",5,0,0,True,True,4,[set()],0.0,{5},"{3, 4, 5, 7, -1}","[{5}, {2, 6}]","[0, 0.1, 0.19081632653061226, 0.9908163265306122, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776, 0.9918367346938776]",True,2,2,0,0,2,5,[2],"[{3, 4, 5, 6, 7, -1, -2}, {3, 4, 5, 6, 7, -1}, {3, 4, 5, 7, -1}, {3, 4, 5, 7, -1}]","[set(), {5}, {5}, {5}]",8,
LocalStandardReflectiveEquilibrium,"[[-4, -7], [5, 7], [1, -5], [6, 2, 5], [-3, -7]]",7,5,0.2732195941070944,34,2.2,0.19999999999999998,set(),"[(1, 1), (2, 1), (6, 1), (-4, 1), (-3, 1)]","{1, 3, -7, -6, -5}",5,0,0,4,True,True,"{1, -5, -7}",3,0,0,True,True,12,[{-7}],1.0,{1},"{1, -5}",[{1}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 3, 4]","[{1, 3, -7, -6, -5}, {1, 3, -7, -5}, {1, -5, -7}, {1, -5, -7}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[-7, 4], [-6, -7], [2, -5, 4], [1, -5], [-3, 2]]",7,5,0.2857142857142857,32,2.2,0.19999999999999998,set(),"[(1, 1), (-6, 1), (-3, 1)]","{3, 4, 5, 6, 7, -1, -2}",7,0,0,1,True,True,"{3, 5, 6, 7, -4, -1}",6,0,0,True,True,2,[{3}],1.0,"{-4, 5}","{5, 6, 7, -4, -1}","[{2, -4}, {-4, 5}, {-4, -3}]","[0, 0.1, 0.19081632653061226, 0.8836734693877553, 0.9275510204081633, 0.9577653061224489, 0.9626938775510203, 0.9626938775510203, 0.9626938775510203, 0.9626938775510203]",True,3,2,1,0,1,5,"[2, 3, 4]","[{3, 4, 5, 6, 7, -1, -2}, {3, 5, 6, 7, -1, -2}, {3, 5, 6, 7, -1}, {3, 5, 6, 7, -4, -1}, {3, 5, 6, 7, -4, -1}]","[set(), {5}, {-4, 5}, {-4, 5}, {-4, 5}]",10,
LocalStandardReflectiveEquilibrium,"[[-7, 4], [-6, -7], [2, -5, 4], [1, -5], [-3, 2]]",7,5,0.2857142857142857,32,2.2,0.19999999999999998,set(),"[(1, 1), (-6, 1), (-3, 1)]","{1, 3, -7, -6, -5}",5,0,0,2,True,False,"{1, -5, -7}",3,0,0,False,True,6,[{-7}],1.0,{1},"{1, -5}",[{1}],"[0, 0.2714285714285714, 0.3336734693877551, 0.9693877551020409, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203, 0.9846938775510203]",True,2,2,0,0,2,5,"[2, 4]","[{1, 3, -7, -6, -5}, {1, 3, -7, -5}, {1, -5, -7}, {1, -5, -7}]","[set(), {1}, {1}, {1}]",8,
