model_name,ds,n_sentence_pool,ds_arg_size,ds_infer_dens,ds_n_consistent_complete_positions,ds_mean_prem,ds_variance_prem,tau_truths,principles,init_coms,init_coms_size,init_coms_n_tau_truths,init_coms_n_tau_falsehoods,init_coms_n_consistent_complete_positions,init_coms_dia_consistent,init_coms_closed,fixed_point_coms,fixed_point_coms_size,fixed_point_coms_n_tau_truths,fixed_point_coms_n_tau_falsehoods,fixed_point_coms_closed,fixed_point_coms_consistent,fixed_point_coms_n_consistent_complete_positions,fixed_point_coms_min_ax_bases_theory,n_fixed_point_coms_min_ax_base_theory,fixed_point_theory,fixed_point_theory_closure,fixed_point_theory_axioms,achievements_evolution,fixed_point_dia_consistent,init_final_coms_simple_hamming,init_final_coms_hamming,init_final_coms_contradictions,init_final_coms_expansions,init_final_coms_contractions,init_final_coms_identities,random_choices,coms_evolution,theory_evolution,process_length,global optima
LocalStandardReflectiveEquilibrium,"[[6, 3, -9], [-1, -4, 3], [-8, 7, -6], [-5, -8], [-2, -3], [-1, -6, -7], [-6, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.22731152106812502,124,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,0,False,,"{8, -5}",2,0,0,,False,0,,,{8},"{8, 5}","[{3, 7}, {-1, 7}, {8}, {6, 7}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",False,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{4, 8, -9, -5, -3, -2}, {4, 8, -9, -5, -2}, {8, -5, 4, -9}, {8, -5, -9}, {8, -5}, {8, -5}]","[set(), {8}, {8}, {8}, {8}, {8}]",12,
LocalStandardReflectiveEquilibrium,"[[6, 3, -9], [-1, -4, 3], [-8, 7, -6], [-5, -8], [-2, -3], [-1, -6, -7], [-6, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.22731152106812502,124,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,20,True,False,{1},1,0,0,True,True,88,[set()],0.0,{1},{1},"[{-5, 7}, {-4, -3}, {-6, 7}, {9, -4}, {-4, -2}, {1}, {-8, 7}, {-6, -4}]","[0, 0.4111111111111111, 0.43148148148148147, 0.9944444444444445, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,2,2,0,0,2,7,"[2, 3]","[{-8, 1, 6}, {-8, 1}, {1}, {1}]","[set(), {1}, {1}, {1}]",8,
LocalStandardReflectiveEquilibrium,"[[-6, 9, 2], [-8, -6], [-3, -4, 8], [1, 9], [5, 7, -3], [-7, -5, -4], [2, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2509481126220947,107,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,2,True,False,"{-3, -9}",2,0,0,False,True,34,[{-9}],1.0,{-3},{-3},"[{9, -6}, {1, -6}, {-3}, {5, 7}, {-8, 9}, {-8, 1}, {2}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,4,4,0,0,4,5,"[2, 3, 4, 6, 8]","[{4, 8, -9, -5, -3, -2}, {4, 8, -9, -5, -3}, {8, -5, -3, -9}, {-5, -3, -9}, {-3, -9}, {-3, -9}]","[set(), {-3}, {-3}, {-3}, {-3}, {-3}]",12,
LocalStandardReflectiveEquilibrium,"[[-6, 9, 2], [-8, -6], [-3, -4, 8], [1, 9], [5, 7, -3], [-7, -5, -4], [2, -3], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2509481126220947,107,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,0,False,,"{-8, -6}",2,0,0,True,True,17,[set()],0.0,{-8},"{-8, -6}",[{-8}],"[0, 0.4111111111111111, 0.43148148148148147, 0.9944444444444445, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,3,2,1,0,1,7,"[2, 3]","[{-8, 1, 6}, {-8, 6}, {-8, -6}, {-8, -6}]","[set(), {-8}, {-8}, {-8}]",8,
LocalStandardReflectiveEquilibrium,"[[2, 4, 1], [7, 1], [6, -5, -2], [-9, 8, 7], [3, 8], [1, -5], [-3, 2, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2601987241386895,101,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,2,True,False,"{8, 3, -2}",3,0,0,True,True,20,[{-2}],1.0,{3},"{8, 3}","[{3}, {2, 6}]","[0, 0.29444444444444445, 0.3407407407407407, 0.9296296296296296, 0.9561728395061729, 0.9561728395061729, 0.971604938271605, 0.971604938271605, 0.975925925925926, 0.975925925925926, 0.975925925925926, 0.975925925925926]",True,5,4,1,0,3,5,"[2, 3, 4, 6, 8]","[{4, 8, -9, -5, -3, -2}, {4, 8, -5, -3, -2}, {8, -5, -3, -2}, {8, -3, -2}, {8, 3, -2}, {8, 3, -2}]","[set(), {3}, {3}, {3}, {3}, {3}]",12,
LocalStandardReflectiveEquilibrium,"[[2, 4, 1], [7, 1], [6, -5, -2], [-9, 8, 7], [3, 8], [1, -5], [-3, 2, -6], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.2601987241386895,101,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,8,True,False,{6},1,0,0,True,True,37,[set()],0.0,{6},{6},[{6}],"[0, 0.4111111111111111, 0.43148148148148147, 0.9944444444444445, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,2,2,0,0,2,7,[2],"[{-8, 1, 6}, {1, 6}, {6}, {6}]","[set(), {6}, {6}, {6}]",8,
LocalStandardReflectiveEquilibrium,"[[-5, 3, 4], [-1, -3], [-7, 8, 4], [-2, -5], [9, -6, -1], [-9, 8], [-3, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.32361523986107343,68,2.1875,0.1625,{1},[],"{4, 8, -9, -5, -3, -2}",6,0,0,4,True,False,"{8, 1, -3, -9}",4,1,0,True,True,18,[{-3}],1.0,{-9},"{8, 1, -9}","[{-9}, {-6}]","[0, 0.27849999999999997, 0.32738888888888884, 0.9517098765432099, 0.9722037037037038, 0.9722037037037038, 0.9815864197530865, 0.9815864197530865, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",True,4,4,0,1,3,5,"[2, 4, 6]","[{4, 8, -9, -5, -3, -2}, {4, 8, -9, -5, -3}, {8, 4, -3, -9}, {8, -3, -9}, {8, 1, -3, -9}, {8, 1, -3, -9}]","[set(), {-9}, {-9}, {-9}, {-9}, {-9}]",12,
LocalStandardReflectiveEquilibrium,"[[-5, 3, 4], [-1, -3], [-7, 8, 4], [-2, -5], [9, -6, -1], [-9, 8], [-3, 1], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.32361523986107343,68,2.1875,0.1625,{1},[],"{-8, 1, 6}",3,1,0,20,True,False,"{1, 6}",2,1,0,True,True,52,[set()],0.0,{6},"{1, 6}","[{9}, {-8}, {-7, -4}, {6}]","[0, 0.432716049382716, 0.4444444444444444, 0.9987654320987654, 0.9987654320987654, 0.9987654320987654]",True,1,1,0,0,1,8,[2],"[{-8, 1, 6}, {1, 6}, {1, 6}]","[set(), {6}, {6}]",6,
LocalStandardReflectiveEquilibrium,"[[4, 7, 1], [-2, -4], [-8, 5, 4], [-6, -3, -4], [-9, -1], [3, -9, -5], [5, -9], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.21973690966350506,130,2.25,0.2,set(),[],"{4, 8, -9, -5, -3, -2}",6,0,0,0,False,,"{-5, -3, -1, -9}",4,0,0,True,True,18,,,{5},"{-3, 5, -1, -9}",[{5}],"[0, 0.29444444444444445, 0.3407407407407407, 0.9517098765432099, 0.9722037037037038, 0.9722037037037038, 0.9815864197530865, 0.9815864197530865, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679, 0.9845679012345679]",False,4,4,0,1,3,5,"[2, 4, 6]","[{4, 8, -9, -5, -3, -2}, {4, 8, -9, -5, -3}, {8, -5, -3, -9}, {-5, -3, -9}, {-5, -3, -1, -9}, {-5, -3, -1, -9}]","[set(), {5}, {5}, {5}, {5}, {5}]",12,
LocalStandardReflectiveEquilibrium,"[[4, 7, 1], [-2, -4], [-8, 5, 4], [-6, -3, -4], [-9, -1], [3, -9, -5], [5, -9], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9]]",9,16,0.21973690966350506,130,2.25,0.2,set(),[],"{-8, 1, 6}",3,0,0,12,True,False,{-8},1,0,0,True,True,61,[set()],0.0,{-8},{-8},[{-8}],"[0, 0.4111111111111111, 0.43148148148148147, 0.9944444444444445, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618, 0.9950617283950618]",True,2,2,0,0,2,7,[2],"[{-8, 1, 6}, {-8, 1}, {-8}, {-8}]","[set(), {-8}, {-8}, {-8}]",8,
